p_bin,u_med,q,shift,shift_over_u
0,0.6224605696797865,0.5,-0.4745146930217743,-0.762320886069747
0,0.6224605696797865,0.9,-0.0760978698730474,-0.12225331784822059
0,0.6224605696797865,0.99,0.5074543243646703,0.815239308452455
1,0.08408871219737601,0.5,0.015197640284895897,0.18073341698019416
1,0.08408871219737601,0.9,0.43129655867815014,5.129066047126463
1,0.08408871219737601,0.99,0.7641566757112737,9.087505989122748
2,0.005431906968599853,0.5,0.027245417120866477,5.015810704852581
2,0.005431906968599853,0.9,0.2787770817987621,51.32213850684203
2,0.005431906968599853,0.99,0.839155159578657,154.48629080533766
