p_bin,u_med,n,mean_B,median_B,q10,q90,q95,q99,positive_rate,med_std
0,0.715627897913941,51092,-1.565701581658498,-0.6671439912170172,-4.689120030403137,0.29334622621536277,0.7200283944606769,1.7833469882607458,0.18298363736005638,-7.814222443157667
1,0.018232768813211675,51091,0.08450885388366852,0.002712270710617304,-0.05089369975030422,0.2792090103030205,0.5571432425640523,1.4530395496636623,0.5488050733005814,1.4130224845024788
2,0.0005700912544895909,51086,0.021000156106826276,0.000452422522357665,-0.0006797425667173229,0.029105256719049066,0.07976865285309032,0.4308686961769127,0.6664448185412833,5.609092876106544
3,4.386709593906524e-05,50945,0.00460556223702392,2.3483378754463047e-05,-2.9680682928301394e-05,0.001667092482966836,0.0059665358130587265,0.06628947732315282,0.6879379723230935,3.761162914269239
4,6.556468058471765e-06,50740,0.001046882612775249,4.410720634950849e-06,-2.8610083973035216e-06,0.0001509152378275756,0.0005534521301342465,0.008356187647332269,0.7410918407567993,4.525558667358075
5,1.0728824619832267e-06,49296,0.00042440858697866,1.1920909628315712e-06,-3.5762769812208717e-07,2.694088988164367e-05,8.689968572639373e-05,0.0015022176906430928,0.7778318727685817,7.052353336994583
6,1.1920927533992653e-07,40092,0.00023576368221819489,3.576277620709334e-07,0.0,5.841237459947024e-06,1.8834887676177914e-05,0.0002965487074177986,0.763643619674748,12.82246449664759
9,0.0,166573,1.857963196948396e-05,0.0,0.0,2.3841855067985307e-07,5.960462772236497e-07,4.887569048150908e-06,0.22026979162289206,0.0
