arch,initialization,iteration,C,lam,C_next,lambda_next,operator_change,A,gamma,E_Delta,kappa
dense,"(2.7367168458347475, 0.03614236236413211)",0,2.7367168458347475,0.03614236236413211,1.5388188615216154,-0.0690691597218919,0.6809553434722284,0.41896745636319466,-0.021787347348385278,0.5518206301368711,2.3396061552378487
dense,"(2.7367168458347475, 0.03614236236413211)",1,1.5388188615216154,-0.0690691597218919,1.5390229726682,-0.06906638986785947,0.0001354024959158706,0.41867494242744674,-0.021460331374575335,0.5519532029487587,2.3392321258795614
dense,"(1.0, 0.0)",0,1.0,0.0,10.406688587490896,0.2506225914761861,2.5930713243144345,-1.5558918139187368,-0.04932876265709035,0.8426747473257098,2.1958229991514595
dense,"(1.0, 0.0)",1,10.406688587490896,0.2506225914761861,1.5388188615216154,-0.0690691597218919,2.231125334922998,0.41896745636319466,-0.021787347348385278,0.5518206301368711,2.3396061552378487
dense,"(1.0, 0.0)",2,1.5388188615216154,-0.0690691597218919,1.5390229726682,-0.06906638986785947,0.0001354024959158706,0.41867494242744674,-0.021460331374575335,0.5519532029487587,2.3392321258795614
dense,"(1.0, 1.0)",0,1.0,1.0,1.538893575231668,-0.06908625706575536,0.638022556496368,0.41887752609259987,-0.021684546201519484,0.5518366714284738,2.3395093471115804
dense,"(1.0, 1.0)",1,1.538893575231668,-0.06908625706575536,1.5390228033902715,-0.06906640977068763,0.0001038184903718875,0.4186752016914495,-0.02146047758360157,0.5519536963534214,2.339232475064913
dense,"(0.75, 2.0)",0,0.75,2.0,0.75,2.0,0.0,,,,
dense,"(1.5, 0.5)",0,1.5,0.5,1.538834966308081,-0.06907244862235044,0.5435119419915073,0.4189476961921969,-0.021767111866650056,0.5518229548822091,2.3395844097634684
dense,"(1.5, 0.5)",1,1.538834966308081,-0.06907244862235044,1.5390229346614965,-0.06906639444522124,0.00012819649798823107,0.4186750007408186,-0.021460363997586256,0.5519533175854177,2.3392322045199303
