arch,C,lam,alpha,lambda_prime_B,beta,beta_effect,R2,A_delta,lambda_prime_delta,gamma_delta,delta_closure_error,n_cells
moe,1.0,0.5,-3.5746190144435395,0.22416262072039292,0.10688186164103039,0.003720994883331368,0.0007754916388760247,1.900381499003008,-0.28934271643244547,-0.4435019986072606,0.5037459029281487,79
moe,1.0,1.0,-2.996000880934961,0.2604026813888728,0.060070583555950324,0.002121096726793802,0.0010474366795052426,2.7574162094355086,-0.10225322125917698,-0.5974712464661692,0.3828256768866435,78
moe,1.0,2.0,-2.8331853131712013,0.28840397550815927,0.033245199718891685,0.0011767195925785265,0.0012785411463310803,3.323573418406064,0.04560017326150483,-0.701038734110105,0.47730341556741884,77
moe,1.0,4.0,-2.792102746041349,0.2996721582035427,0.02352388149680385,0.0008329677554134972,0.0013778506965610449,3.429585157616671,0.07300925688772478,-0.8702880539352064,0.5315457874973136,77
moe,1.0,8.0,-2.781212139476821,0.30335656639598557,0.020393513989657802,0.0007222883584535838,0.0014114970913522429,3.5784817610653024,0.08891513540917481,-1.1352956330928217,0.5377988757578972,76
moe,1.25,0.0,-3.990560317341216,0.36748811450048396,0.06402184115238357,0.002212306544041971,0.001987860041658629,1.2067115546459644,-0.19471509216759564,-0.23171857360327652,0.5467303533063702,79
moe,1.25,0.25,-3.1579337918017,0.2753885700139159,0.0668799398614296,0.002369231639441606,0.0011804603293062987,2.3908286812073705,-0.1774299653964011,-0.4724593382144941,0.5195109622746527,78
moe,1.25,0.5,-2.9416111023659672,0.2789595352139243,0.049691022831886936,0.001763662535784111,0.001208833069748616,2.744948513354494,-0.11942429779704494,-0.5844022877512831,0.4426894288161352,78
moe,1.25,1.0,-2.8290487666470483,0.2914585447389879,0.03218640724361709,0.001141868227270806,0.0013113167373437484,3.1210955277706645,-0.009052048670904731,-0.6868086940136251,0.37021108703108335,78
moe,1.25,2.0,-2.7911404663578328,0.2997247492554504,0.02382328746076833,0.0008441404291953749,0.0013802948494302525,3.3999729761130957,0.06251297367780363,-0.8023673452464151,0.5139978506007462,77
moe,1.25,4.0,-2.7805644341918883,0.3034764628515813,0.020315112587829406,0.0007197023409442445,0.0014133350459941685,3.459157575907455,0.07421730107063887,-0.9245408827782239,0.5342401275606634,77
moe,1.25,8.0,-2.7775452035283923,0.3046518204615768,0.019207462006002807,0.0006804307615278056,0.0014238021417524171,3.6684230640064386,0.1010589726377283,-1.2751709550666348,0.5249414652369181,75
moe,1.5,0.0,-3.1494337534986316,0.291246278955438,0.058623035451481474,0.002078671483485523,0.0013177610070754797,2.390203943572453,-0.1743728151981763,-0.46414789502949166,0.5178576238538135,78
moe,1.5,0.25,-2.9202385247773943,0.28599590596811514,0.04418995343183996,0.0015700509390498597,0.0012707396361403278,2.7799236153612115,-0.10856078805098311,-0.6208894447303106,0.43244162523836016,78
moe,1.5,0.5,-2.845307165323088,0.2908529758239123,0.03436324339980863,0.0012202611634314835,0.0013091290553223223,3.00761032457801,-0.04782634795940363,-0.7010549727441074,0.36384642380562376,78
moe,1.5,1.0,-2.8005181246867092,0.297813226460122,0.02586329067048349,0.0009172696436507655,0.0013659630419925461,3.2470129508225933,0.026085816542354916,-0.7380626937281825,0.4327027704363198,78
moe,1.5,2.0,-2.783552857698639,0.30217326098102604,0.02151637505126482,0.0007624299342405182,0.001402255087380122,3.428604745858259,0.06938170675943973,-0.8675978097647793,0.5286460591998452,77
moe,1.5,4.0,-2.7782655361191764,0.3044014856155125,0.019497406920942036,0.0006907885820577864,0.0014219145189816595,3.4919494958529635,0.07647719180943534,-0.9832014413567988,0.5331362937363103,77
moe,1.5,8.0,-2.776654283995619,0.3049762905794301,0.018903944055140152,0.0006696937999521012,0.0014268004596720285,3.768651952423582,0.11404193356985522,-1.4070243648169718,0.5241418634040197,74
moe,2.0,0.0,-2.8626561203811445,0.2931278876802661,0.03492296252947649,0.001240978361292737,0.001331592374573476,2.97401501503865,-0.05572764255974186,-0.7758229499020981,0.3916100138861334,78
moe,2.0,0.25,-2.816318920089966,0.2960507819959358,0.028458118803904104,0.001010399662772808,0.0013536879692003234,3.1011967678991827,-0.020694466254639467,-0.8049715973847893,0.3812551521628023,78
moe,2.0,0.5,-2.7976114466328927,0.29902903352790583,0.024723979926548185,0.0008772364933356897,0.0013779096753838704,3.202389469165369,0.0080455850403756,-0.8083826713302952,0.41239551127866964,78
moe,2.0,1.0,-2.7846522829116727,0.30167625482763544,0.021869256122860163,0.0007752539215730554,0.0013989223742940649,3.4136124844049007,0.051212047929848015,-0.8119895468950137,0.500287350342261,77
moe,2.0,2.0,-2.7787175755832196,0.30402585007589694,0.01981160768861758,0.0007019892547675561,0.001418790574205131,3.4758151630667737,0.07519617985069284,-0.9556878351897075,0.5348948477561397,77
moe,2.0,4.0,-2.7767098924618923,0.30496930601042754,0.01887774059191824,0.0006688518197485086,0.0014270953455988167,3.564717291876616,0.08662423673152336,-1.1146113985561839,0.5402008167655058,76
moe,2.0,8.0,-2.7759782752379416,0.3052062410870223,0.018601943675760953,0.0006590249981669699,0.0014289839670094118,3.8063155951021534,0.11935776903807013,-1.4537745529832624,0.5225039153427664,74
moe,100.0,0.30547857544707085,-2.7754144641134166,0.30547857544707085,0.018265495452311445,0.0006471538521115105,0.001431639768953108,3.8062655671439876,0.11931032015529229,-1.4536669801798872,0.5225148528388405,74
