arch,initialization,iteration,C,lam,C_next,lambda_next,operator_change,A,gamma,E_Delta,kappa
moe,"(100.0, 0.3054785754470709)",0,100.0,0.3054785754470709,3.6078508094457664,0.11931032015529214,3.508226189866309,3.8062655671439876,-1.4536669801798872,0.5225148528388401,162.28885751970904
moe,"(100.0, 0.3054785754470709)",1,3.6078508094457664,0.11931032015529214,4.655792493899708,0.05775890479907394,0.2549998905610127,3.4635959346953227,-0.9857447562838357,0.48041331162467016,148.6668767800827
moe,"(100.0, 0.3054785754470709)",2,4.655792493899708,0.05775890479907394,4.238477253585356,0.0761184240480088,0.09390807554165503,3.586668653611158,-1.123706741382807,0.5159430373496993,153.06653865811245
moe,"(100.0, 0.3054785754470709)",3,4.238477253585356,0.0761184240480088,4.358048027946435,0.06945804614245243,0.027820190668165212,3.550421730111608,-1.0623558309171754,0.5186053028442119,151.78210721232813
moe,"(100.0, 0.3054785754470709)",4,4.358048027946435,0.06945804614245243,4.324511878498764,0.07131248043913412,0.007724983549177278,3.5605008779646483,-1.0797159394868634,0.5178992200957891,152.13984815635337
moe,"(100.0, 0.3054785754470709)",5,4.324511878498764,0.07131248043913412,4.333952050520245,0.07079051635647046,0.0021805659385853993,3.5576572596206493,-1.0748436347648782,0.5181046795525147,152.03900489995044
moe,"(100.0, 0.3054785754470709)",6,4.333952050520245,0.07079051635647046,4.331296746302144,0.070937342774504,0.0006128627956270005,3.558456614608297,-1.0762151144484382,0.5180473607089269,152.06736163131922
moe,"(100.0, 0.3054785754470709)",7,4.331296746302144,0.070937342774504,4.332043784709799,0.07089603963770169,0.00017245966653001155,3.5582316877770297,-1.0758293476160266,0.5180635261313352,152.05938329730742
moe,"(1.0, 0.0)",0,1.0,0.0,100.0,0.4197988093240107,5.024968995312102,-1.850762176061588,-0.791712696246231,0.6363547541268273,126.33102975521126
moe,"(1.0, 0.0)",1,100.0,0.4197988093240107,3.6078508094457664,0.11931032015529214,3.6225464237432483,3.8062655671439876,-1.4536669801798872,0.5225148528388401,162.28885751970904
moe,"(1.0, 0.0)",2,3.6078508094457664,0.11931032015529214,4.655792493899708,0.05775890479907394,0.2549998905610127,3.4635959346953227,-0.9857447562838357,0.48041331162467016,148.6668767800827
moe,"(1.0, 0.0)",3,4.655792493899708,0.05775890479907394,4.238477253585356,0.0761184240480088,0.09390807554165503,3.586668653611158,-1.123706741382807,0.5159430373496993,153.06653865811245
moe,"(1.0, 0.0)",4,4.238477253585356,0.0761184240480088,4.358048027946435,0.06945804614245243,0.027820190668165212,3.550421730111608,-1.0623558309171754,0.5186053028442119,151.78210721232813
moe,"(1.0, 0.0)",5,4.358048027946435,0.06945804614245243,4.324511878498764,0.07131248043913412,0.007724983549177278,3.5605008779646483,-1.0797159394868634,0.5178992200957891,152.13984815635337
moe,"(1.0, 0.0)",6,4.324511878498764,0.07131248043913412,4.333952050520245,0.07079051635647046,0.0021805659385853993,3.5576572596206493,-1.0748436347648782,0.5181046795525147,152.03900489995044
moe,"(1.0, 0.0)",7,4.333952050520245,0.07079051635647046,4.331296746302144,0.070937342774504,0.0006128627956270005,3.558456614608297,-1.0762151144484382,0.5180473607089269,152.06736163131922
moe,"(1.0, 0.0)",8,4.331296746302144,0.070937342774504,4.332043784709799,0.07089603963770169,0.00017245966653001155,3.5582316877770297,-1.0758293476160266,0.5180635261313352,152.05938329730742
moe,"(1.0, 1.0)",0,1.0,1.0,8.221965004303566,-0.10225322125917674,2.106809232118242,2.7574162094355086,-0.5974712464661691,0.38282567688664376,129.5705397784758
