p_bin,u_med,n,mean_B,median_B,q10,q90,q95,q99,positive_rate,med_std
0,0.715627897913941,51092,-1.1181118286974716,-0.48774584010243416,-4.612943163514137,1.4463760249316717,2.6867194056510892,5.8488428212702175,0.27926094104752214,-6.776781673992619
1,0.018232768813211675,51091,0.3816980452785396,0.011434728279709816,-0.04804810881614685,1.1863113343715668,2.3361925603821874,5.385543133318421,0.5910825781448787,5.204606047630814
2,0.0005700912544895909,51086,0.13418442238263803,0.0008710424008313566,-0.0007006575688137673,0.1568018032121472,0.5765476977976505,3.1702547609806135,0.6816936146889558,10.113064371720522
3,4.386709593906524e-05,50945,0.052779240775259965,4.911021824227646e-05,-3.146987801301293e-05,0.008606742350457351,0.05479376648727328,1.3131565534864784,0.7077240160957896,7.531083852827334
4,6.556468058471765e-06,50740,0.021353206325758718,9.179042876894528e-06,-3.2186208045459352e-06,0.0007372701966232853,0.004185716489519098,0.2259744262333699,0.7655301537248719,9.342062948494757
5,1.0728824619832267e-06,49296,0.010181289638341405,2.741805474215653e-06,-3.576275275918306e-07,0.00015692636515041158,0.0008121086630694663,0.03803990259894477,0.8169831223628692,16.028043062839195
6,1.1920927533992653e-07,40092,0.007675042027303262,9.536736627069331e-07,0.0,3.7776678846057796e-05,0.00018546047653984418,0.014173972373984097,0.8279207822009378,32.05615608273842
9,0.0,166573,0.001242467409777811,0.0,0.0,1.0728830375228426e-06,3.814689989667386e-06,0.00010964744957675479,0.3546132926704808,0.0
